"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 18 04:36:49 UTC 2025","Wed Jun 18 04:37:07 UTC 2025","18281","tests","test_todo","","","","test_toggle_todo_done_status",""
"failed","Wed Jun 18 04:30:36 UTC 2025","Wed Jun 18 04:30:44 UTC 2025","8087","tests","test_login_param","","","","test_login_param[TC004]",""
"passed","Wed Jun 18 04:33:00 UTC 2025","Wed Jun 18 04:33:24 UTC 2025","24737","tests","test_todo","","","","test_todo_crud_customized[user_new-U$erN3w!Qz7^-2-1]",""
"passed","Wed Jun 18 04:29:47 UTC 2025","Wed Jun 18 04:29:55 UTC 2025","8091","tests","test_login","","","","test_login_failures[test--error_messages3-None]",""
"passed","Wed Jun 18 04:37:53 UTC 2025","Wed Jun 18 04:37:53 UTC 2025","3","tests","test_api_todo","","","","test_create_todo_validation_errors[repeat-payload5-\u8acb\u9078\u64c7\u91cd\u8907\u8a2d\u5b9a]",""
"passed","Wed Jun 18 04:37:47 UTC 2025","Wed Jun 18 04:37:50 UTC 2025","3927","tests","test_todo","","","","test_batch_delete_without_selection_shows_alert",""
"passed","Wed Jun 18 04:33:26 UTC 2025","Wed Jun 18 04:33:51 UTC 2025","24804","tests","test_todo","","","","test_create_edit_delete_todo_with_title_check",""
"passed","Wed Jun 18 04:37:10 UTC 2025","Wed Jun 18 04:37:45 UTC 2025","35390","tests","test_todo","","","","test_batch_delete_selected_todos",""
"passed","Mon Jun 09 09:57:17 UTC 2025","Mon Jun 09 09:57:17 UTC 2025","6","tests","test_api_todo","","","","test_delete_todo_fail_not_found",""
"passed","Wed Jun 18 04:37:52 UTC 2025","Wed Jun 18 04:37:52 UTC 2025","15","tests","test_api_todo","","","","test_get_single_todo",""
"passed","Wed Jun 18 04:37:52 UTC 2025","Wed Jun 18 04:37:52 UTC 2025","15","tests","test_api_todo","","","","test_delete_todo_success",""
"passed","Wed Jun 18 04:29:12 UTC 2025","Wed Jun 18 04:29:16 UTC 2025","4005","tests","test_login","","","","test_login_success",""
"passed","Wed Jun 18 04:28:37 UTC 2025","Wed Jun 18 04:28:47 UTC 2025","10328","tests","test_register","","","","test_register_failed_cases[userA--\u7528\u6236A-a@gmail.com-\u5bc6\u78bc\u70ba\u5fc5\u586b]",""
"passed","Wed Jun 18 04:35:35 UTC 2025","Wed Jun 18 04:36:02 UTC 2025","26978","tests","test_todo","","","","test_todo_crud_customized_with_title_check[user_new-U$erN3w!Qz7^-2-1]",""
"passed","Mon Jun 09 09:45:20 UTC 2025","Mon Jun 09 09:45:31 UTC 2025","11063","tests","test_register","","","","test_register_empty_account",""
"passed","Mon Jun 09 09:46:32 UTC 2025","Mon Jun 09 09:46:41 UTC 2025","8790","tests","test_login","","","","test_login_wrong_password",""
"passed","Wed Jun 18 04:37:52 UTC 2025","Wed Jun 18 04:37:52 UTC 2025","4","tests","test_api_todo","","","","test_todo_not_found[put-api/todo/999999]",""
"passed","Wed Jun 18 04:37:52 UTC 2025","Wed Jun 18 04:37:52 UTC 2025","4","tests","test_api_todo","","","","test_update_todo_fail_not_found",""
"failed","Wed Jun 18 04:30:45 UTC 2025","Wed Jun 18 04:30:53 UTC 2025","8094","tests","test_login_param","","","","test_login_param[TC005]",""
"passed","Mon Jun 09 09:55:18 UTC 2025","Mon Jun 09 09:55:32 UTC 2025","14605","tests","test_todo","","","","test_create_todo_invalid_date_format",""
"passed","Wed Jun 18 04:37:52 UTC 2025","Wed Jun 18 04:37:52 UTC 2025","5","tests","test_api_todo","","","","test_create_todo_db_fail",""
"passed","Mon Jun 09 09:47:13 UTC 2025","Mon Jun 09 09:47:21 UTC 2025","8507","tests","test_login","","","","test_login_empty_password",""
"passed","Wed Jun 18 04:31:47 UTC 2025","Wed Jun 18 04:32:11 UTC 2025","24041","tests","test_todo","","","","test_todo_crud_by_multiple_users[user_new-U$erN3w!Qz7^]",""
"passed","Wed Jun 18 04:30:09 UTC 2025","Wed Jun 18 04:30:13 UTC 2025","3929","tests","test_login_param","","","","test_login_param[TC001]",""
"passed","Wed Jun 18 04:36:18 UTC 2025","Wed Jun 18 04:36:31 UTC 2025","12830","tests","test_todo","","","","test_create_todo_invalid_inputs[\u6a19\u984cB-06-02-2025-\u5099\u8a3bB-\u932f\u8aa4\u65e5\u671f\u683c\u5f0f]",""
"passed","Mon Jun 09 09:45:36 UTC 2025","Mon Jun 09 09:45:46 UTC 2025","10184","tests","test_register","","","","test_register_empty_password",""
"passed","Wed Jun 18 04:37:53 UTC 2025","Wed Jun 18 04:37:53 UTC 2025","2","tests","test_api_todo","","","","test_create_todo_validation_errors[description-payload1-\u8aaa\u660e\u70ba\u5fc5\u586b]",""
"passed","Wed Jun 18 04:30:55 UTC 2025","Wed Jun 18 04:31:20 UTC 2025","25403","tests","test_todo","","","","test_create_edit_delete_todo",""
"passed","Wed Jun 18 04:37:53 UTC 2025","Wed Jun 18 04:37:53 UTC 2025","3","tests","test_api_todo","","","","test_create_todo_validation_errors[title-payload0-\u6a19\u984c\u70ba\u5fc5\u586b]",""
"passed","Wed Jun 18 04:32:13 UTC 2025","Wed Jun 18 04:32:58 UTC 2025","45501","tests","test_todo","","","","test_todo_crud_customized[test-P@ssw0rd_X9g2#-4-2]",""
"passed","Wed Jun 18 04:37:52 UTC 2025","Wed Jun 18 04:37:52 UTC 2025","16","tests","test_api_todo","","","","test_update_todo_success",""
"passed","Wed Jun 18 04:29:17 UTC 2025","Wed Jun 18 04:29:26 UTC 2025","8305","tests","test_login","","","","test_login_failures[test-wrongpass-error_messages0-screenshots/step2_login_fail.png]",""
"passed","Mon Jun 09 09:47:26 UTC 2025","Mon Jun 09 09:47:35 UTC 2025","9237","tests","test_login","","","","test_login_empty_both",""
"passed","Wed Jun 18 04:37:52 UTC 2025","Wed Jun 18 04:37:52 UTC 2025","11","tests","test_api_todo","","","","test_create_todo_api_success",""
"passed","Wed Jun 18 04:30:06 UTC 2025","Wed Jun 18 04:30:08 UTC 2025","1487","tests","test_login","","","","test_go_to_register_page",""
"passed","Wed Jun 18 04:28:25 UTC 2025","Wed Jun 18 04:28:35 UTC 2025","10319","tests","test_register","","","","test_register_failed_cases[-U$erN3w!Qz7^-\u7528\u6236A-a@gmail.com-\u5e33\u865f\u70ba\u5fc5\u586b]",""
"passed","Wed Jun 18 04:29:28 UTC 2025","Wed Jun 18 04:29:36 UTC 2025","8097","tests","test_login","","","","test_login_failures[nouser-P@ssw0rd_X9g2#-error_messages1-None]",""
"passed","Wed Jun 18 04:29:38 UTC 2025","Wed Jun 18 04:29:46 UTC 2025","8085","tests","test_login","","","","test_login_failures[-P@ssw0rd_X9g2#-error_messages2-None]",""
